Key,Item Type,Publication Year,Author,Title,Publication Title,ISBN,ISSN,DOI,Url,Abstract Note,Date,Date Added,Date Modified,Access Date,Pages,Num Pages,Issue,Volume,Number Of Volumes,Journal Abbreviation,Short Title,Series,Series Number,Series Text,Series Title,Publisher,Place,Language,Rights,Type,Archive,Archive Location,Library Catalog,Call Number,Extra,Notes,File Attachments,Link Attachments,Manual Tags,Automatic Tags,Editor,Series Editor,Translator,Contributor,Attorney Agent,Book Author,Cast Member,Commenter,Composer,Cosponsor,Counsel,Interviewer,Producer,Recipient,Reviewed Author,Scriptwriter,Words By,Guest,Number,Edition,Running Time,Scale,Medium,Artwork Size,Filing Date,Application Number,Assignee,Issuing Authority,Country,Meeting Name,Conference Name,Court,References,Reporter,Legal Status,Priority Numbers,Programming Language,Version,System,Code,Code Number,Section,Session,Committee,History,Legislative Body
H68C58EA,journalArticle,2012,"Maffeis, Angelo","Il dibattito sull'eucaristia al Concilio di Trento tra riflessione teologica, controversia confessionale e definizione dogmatica",Teologia,,1120-267X,,https://research.ebsco.com/linkprocessor/plink?id=a1f456c3-bf40-3bf4-bbbc-aefcfacea113,"The doctrine on Eucharist taught by the Council of Trent seems to receive very little attention by contemporary catholic theology. The reason for this lack of interest is probably the preference given to a liturgical approach to the sacraments and the suspicion toward a heavy use of scholastic language in the conciliar decrees. On the other hand, the dogmatic character of the Tridentine doctrine on Eucharist calls for an appropriate interpretation, which is able to distinguish between binding teaching and theological language of the time. To help this discernment, the article exposes the main questions discussed at Trent by theologians and bishops during the debate that lead to the formulation of canons and doctrine. Three main issues are considered: the communion under both kinds and the tension between Christ’s institution and the practice of the Church, the real presence of Christ and the need for ontological categories to preserve catholic faith, the Eucharist as sacrifice and its relationship with the sacrifice of the Cross. [ABSTRACT FROM AUTHOR]",2012,2025-07-21 15:42:36,2025-10-14 16:16:25,,67-108,,1,37,,,,,,,,,,Italian,,,,,,,,,https://drive.google.com/file/d/1OO89BZ9lCv2jbaTYqgdDsSwKWzRNECSA/preview,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCU5YZKP,journalArticle,2021,"Maffeis, Angelo",Interpretare Trento. Un'ermeneutica ecumenica della dottrina tridentina sull'eucaristia,Teologia,,1120-267X,,https://research.ebsco.com/linkprocessor/plink?id=481446e6-c00a-3cb1-877c-a405b8ef901c,"The theological understanding of the Eucharist belongs to the central themes dealt with by the ecumenical dialogue between the Roman Catholic Church and the Churches of the Reformation during the decades following the Second Vatican Council. Referring mainly to the dialogues and theological debate that developed in the USA and in Germany, the article aims at highlighting the hermeneutical criteria applied by Catholic and Protestant theology to interpret the Tridentine teaching on Eucharist. In the first part, some general considerations are proposed on the meaning of the confession of faith and dogma in relation to the historical situation in which they arise, to the theological concepts they use and to the link with the tradition of faith considered in its full historical extent. In the second part, attention is directed more specifically to hermeneutics applied to the idea of the Eucharist as sacrifice and to the doctrine of transubstantiation.",2021-06-01,2025-10-14 16:12:46,2025-10-14 16:15:37,2025-10-14 16:12:45,179-218,,2,46,,Teologia,,,,,,,,ita,,,,151810554,EBSCOhost,,Publisher: Glossa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KT87L9KP,journalArticle,2019,"Maffeis, Angelo",In dialogo con il Concilio. La visione della Chiesa nell’insegnamento di Paolo VI,Teologia,,1120-267X,,https://research.ebsco.com/linkprocessor/plink?id=002790bb-16fe-3097-9bd2-19522717c50e,"The Church is a central issue for the personal reflection and for the official teaching of Paul VI. The article illustrates some aspects of his vision of the Church, taking inspiration from the opening address of the second period of Vatican II (29 September 1963). The four questions proposed by the pope - the conscience of the Church, the reform, the search for Christian unity and the dialogue with the world - do not only set the agenda for the future work of the Council, but also offer a possible key for understanding Paul VI ecclesiology and suggest at the same time the priorities laying under the reforms set up during the pontificate.",2019-10-01,2025-10-14 16:12:46,2025-10-14 16:15:32,2025-10-14 16:12:45,361-379,,3,44,,Teologia,,,,,,,,ita,,,,139831093,EBSCOhost,,Publisher: Glossa,,https://drive.google.com/file/d/1QEFo0DyJFPCPpMJe1VjCvwVs6MGxsfHd/preview,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T69SK72Q,journalArticle,2023,"Maffeis, Angelo",La controversia confessionale nell’età dei Lumi: Il confronto tra Angelo Maria Querini e Johann Rudolf Kiesling,Teologia,,1120-267X,,https://research.ebsco.com/linkprocessor/plink?id=d80ae832-6f97-35ed-8cfd-b2a3b6283b2b,"Controversy represents one of the characteristic forms of Christian thought that has developed since the age of the Protestant Reformation. Over the centuries, however, the way in which the task of theological controversy has been interpreted has changed. The article studies the epistolary discussion that around 1750 took place between Card. Angelo Maria Querini and the German historian and theologian Johann Rudolf Kiesling. The study of the writings examined shows the central place of the debate on the reform efforts implemented before the Council of Trent and the impact of the Enlightenment culture on the self-understanding of the Churches, whose spokespersons, despite their confessional differences, recognize each other as belonging to the same Republic of Letters.",2023-12-01,2025-10-14 16:12:46,2025-10-14 16:14:42,2025-10-14 16:12:45,577-597,,4,48,,Teologia,La controversia confessionale nell’età dei Lumi,,,,,,,ita,,,,176516426,EBSCOhost,,Publisher: Glossa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALQEDXVM,journalArticle,2021,"Epis, Massimo",Creati liberi per <i>indiarci</i>. <i>L'ordo gratiæ</i> nel poema dantesco,Teologia,,1120-267X,,https://research.ebsco.com/linkprocessor/plink?id=2256579e-781f-315f-8b2f-4290a39bb008,,2021-09-01,2025-07-21 15:44:17,2025-10-14 15:49:51,2025-10-14 12:27:07,347-357,,3,46,,Teologia,,,,,,,,ita,,,,153639359,EBSCOhost,,Publisher: Glossa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PVJKUQTK,journalArticle,2024,"Epis, Massimo",Una novità per/in Dio?,Teologia,,1120-267X,,https://research.ebsco.com/linkprocessor/plink?id=a86e3fe1-a042-3197-a243-3803ebfd0fae,"The question of a newness ""in"" and ""for"" God intercepts issues such as God's im-mutability, his passibility and his providence. Some theoretical models (Parmenidean, Aristotelian, Hegelian) of absoluteness are here discussed in comparison with the speculative relevance of biblical faith. Crucial is the recognition of the ontological relevance of human actuation. The Christological event calls for a rethinking of the relationship in terms that are not reducible to the metaphysical device of cause. The newness ""of"" God confers on our freedom the possibility of an original determination of God's own truth.",2024-06-01,2025-10-14 12:27:08,2025-10-14 15:47:44,2025-10-14 12:27:07,407-420,,2,49,,Teologia,,,,,,,,ita,,,,179316945,EBSCOhost,,Publisher: Glossa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7SERH5MK,journalArticle,2018,"Epis, Massimo",Scrittura e verità. Un punto di vista teologico-fondamentale,Teologia,,1120-267X,,https://research.ebsco.com/linkprocessor/plink?id=8057d057-80e9-3cd5-8cb3-4f27e0332fba,"The defensive language of the inerrance does not exhaust the problem of the truth of Scripture. Even the qualification of ""salvific,"" because it does not remain equivocal, must be understood in relation to the dynamism in which the Bible bears witness to it. The systematic relief of truth as salvation concerns the consistency of anthropological implementation in God's unconditional initiative.",2018-10-01,2025-10-14 12:27:08,2025-10-14 15:46:34,2025-10-14 12:27:07,341-356,,3,43,,Teologia,,,,,,,,ita,,,,133218281,EBSCOhost,,Publisher: Glossa,,https://drive.google.com/file/d/184G03CJ6vR9zhbKcrHwAKfl2NovhpX_e/preview,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GZTEXG2I,journalArticle,2012,"Epis, Massimo",Sulla “circolarità” di teologia e filosofia,Teologia,,1120-267X,,https://research.ebsco.com/linkprocessor/plink?id=3517ebe3-5bb4-3227-a6a4-7acc1cae9b35,The auspice that the relationship between theology and philosophy might stand dictated by circularity (see Fides et Ratio 73) compels theology to state precisely the solidity of the anthropological side in the institution of God’s Christological truth and the accomplishment of human freedom. About this theorization here is suggested a double check referring to the metaphysics of esse ut actus and the issues of theodicy.,2012,2025-10-14 12:27:08,2025-10-14 15:46:24,2025-10-14 12:27:07,56-66,,1,37,,Teologia,,,,,,,,ita,,,,120178695,EBSCOhost,,Publisher: Glossa,,https://drive.google.com/file/d/1e_1W6JEsiNyTZR3fsm9ZcWLNYugRkazd/preview,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64JCTWSS,journalArticle,2014,"Epis, Massimo",Modelli di teologia filosofica,Teologia,,1120-267X,,https://research.ebsco.com/linkprocessor/plink?id=ef1c498c-2b4e-3c81-88c9-f0e9151d7e83,"The debate about philosophic theology concerns the essence and the justification of a radical demand about God’s question and the conditions of his nomination. If theological research does not want to abdicate the instance of universality inherent to intellectus fidei, it cannot surrender to the deconstruction of a fundamental critical instance. In the outline of philosophy in the twentieth century it is a fundamental joint the ontological criticism by Heidegger (§ 1), seen as the coherent drift of a depicting conceptualism, unable to conceive the difference in which existence is set. Giving evidence to the vitality of current reflections here are introduced Stanislas Breton’s speculative itineraries (§ 2), as a representative of Neoplatonic legacy; Armin Kreiner (§ 3), for applying analytic speculation to the classic controversy of theodicy; and John Milbank (§4), prominent figure of the apologetic reproposal of participation onto - logy. Here rose a provisory and partial survey of ideal typical positions as a first orientation in an endless literature.",2014-03-01,2025-10-14 12:27:08,2025-10-14 15:45:26,2025-10-14 12:27:07,11-47,,1,39,,Teologia,,,,,,,,ita,,,,120177624,EBSCOhost,,Publisher: Glossa,,https://drive.google.com/file/d/1EOcgR-G0gUmZh0YyS54Ofhl2JXPfvY6N/preview,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SBDHNCXP,journalArticle,2019,"Epis, Massimo",La teologia serve alla Chiesa?,Teologia,,1120-267X,,https://research.ebsco.com/linkprocessor/plink?id=768208cf-6fd1-35d9-83ed-7e986b01860c,,2019-10-01,2025-10-14 12:27:08,2025-10-14 15:44:43,2025-10-14 12:27:07,283-289,,3,44,,Teologia,,,,,,,,ita,,,,139831088,EBSCOhost,,Publisher: Glossa,,https://drive.google.com/file/d/1IzNUL3VvKt68pxnPXW-mg1XLJBOunvja/preview,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C7Q6ZWHZ,journalArticle,2020,"Epis, Massimo",L'evidenza di Dio nella metafisica originaria del logos incontrovertibile. In dialogo con Leonardo Messinese.,Teologia,,1120-267X,,https://research.ebsco.com/linkprocessor/plink?id=fb58c6b9-6243-3831-a310-b756064cb886,,2020-09-01,2025-07-21 15:42:37,2025-10-14 12:31:51,2025-10-14 12:27:08,440-450,,3,45,,Teologia,,,,,,,,ita,,,,147602491,EBSCOhost,,Publisher: Glossa,,https://drive.google.com/file/d/1iSagMhPQETSNa5PDsG12BqFfJASzOE0d/preview,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UQANQ49U,journalArticle,2023,"Epis, Massimo",Il rigore del concetto e l'ordine del senso.,Teologia,,1120-267X,,https://research.ebsco.com/linkprocessor/plink?id=7d65a994-4d40-35b8-b784-eecf25f1046c,,2023-06-01,2025-07-21 15:41:34,2025-10-14 12:31:12,2025-10-14 12:27:07,271-287,,2,48,,Teologia,,,,,,,,ita,,,,173263096,EBSCOhost,,Publisher: Glossa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITXJPUD5,journalArticle,2023,"Epis, Massimo",La forma biblica della verità. L'eredità di Paul Beauchamp (1924-2001),Teologia,,1120-267X,,https://research.ebsco.com/linkprocessor/plink?id=0ed40950-9612-3bed-8ffa-74842e8c97a6,,2023-10-01,2025-07-21 15:42:37,2025-10-14 12:30:54,2025-10-14 12:27:07,375-378,,3,48,,Teologia,,,,,,,,ita,,,,173955824,EBSCOhost,,Publisher: Glossa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
283S4757,journalArticle,2022,"Epis, Massimo",Il concetto fenomenico di Rivelazione secondo Jean-Luc Marion,Teologia,,1120-267X,,https://research.ebsco.com/linkprocessor/plink?id=887543c4-d7cd-3265-ac60-9d4749c54ec0,,2022-06-01,2025-07-21 15:42:37,2025-10-14 12:29:45,2025-10-14 12:27:07,371-397,,2,47,,Teologia,,,,,,,,ita,,,,160830122,EBSCOhost,,Publisher: Glossa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNLUYN33,journalArticle,2025,"Kesel, Jozef de",Cristiani in un mondo che non lo è più,Teologia,,1120-267X,,https://research.ebsco.com/c/gpms35/search/details/334dqf4cob?db=rlh&limiters=None&q=kesel%20cristiani&searchMode=boolean,,2025,2025-07-21 15:46:25,2025-10-14 12:16:36,,7-14,,1,50,,Teologia,,,,,,,,Italian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BDX4AZWA,journalArticle,2012,"Prato, Ezio","L' essere e l'eccedenza: Questione metafisica, differenza teologica, istanza etica",Teologia,,1120-267X,,https://research.ebsco.com/c/gpms35/search/details/vtgiy6og4b?db=rlh%2Cnlebk&limiters=None&q=prato%20eccedenza&searchMode=boolean,"The philosophical teaching is basic in a curriculum of theological studies. The present article starts from the assumption that the metaphysical themes may build a synthetic privileged passage to consider such a teaching as a whole and tries to show how the diffused paradigm of “the metaphysics of a being” may result enriched by the acknowledgment of the theological and ethic difference as both starting points of the ontological difference, the pivot of such paradigm. The survey intends to testify – partially at least – the work carried out during the annual meeting of the professors and lecturers of the Faculty and the Institutes connected to it, a meeting which took place on the 14th and the 15th June 2011 at Gazzada (VA) and assigned to Philosophy Teachings. There is, therefore, introduced again what was presented in that circumstance by Prof. Sequeri’s report. The documentation of the thesis exposed in such a report means to emprove the critical renewal of a theoretic suggestion, not so a diffused and common one, pointing out, as well – particularly in its final parts –, some cues for a possible teaching spin-off. [ABSTRACT FROM AUTHOR]",2012,2018-10-25 13:01:42,2025-10-14 12:11:53,,14-40,,1,37,,,,,,,,,,Italian,,,,,,,,,https://drive.google.com/file/d/18Sh1VucFir3OVawGObL7BysH-ZznML_r/preview,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTKENBJA,journalArticle,2013,"Trabucco, Giovanni",Quale paradigma del Concilio. Teologico? Antropologico? Ecclesiologico?,Teologia,,1120-267X,,https://research.ebsco.com/c/gpms35/search/details/z4xh6v2cnf?db=rlh%2Cnlebk&limiters=None&q=trabucco%20Quale%20paradigma%20del%20Concilio&searchMode=boolean,"From the textual body and from the history of the reception of the Council there emerges the necessity of a hermeneutical paradigm which gives reasons for its internal principle. If the Council focused mainly on ecclesiology, the most careful interpreters, like J. Ratzinger and Ch. Theobald, show that the most determinant knot is that of Christology. Only the clarification of the nexus between anthropology and Christology is able to execute also the fundamental problem of the relation of the Gospel to man, which the Council did not yet have at its disposal a theoretical model to think of, different from the one it meant to overcome.",2013,2025-10-13 19:51:21,2025-10-14 12:08:46,2025-10-13 19:51:21,454-475,,3,38,,Teologia,Quale paradigma del Concilio Teologico?,,,,,,,en,,,,120177555,EBSCOhost,,Publisher: Glossa,,https://drive.google.com/file/d/19F920ZYF0I4q3W-H_ipOcIafzatAIECV/preview,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HWBD9TBI,journalArticle,2024,"Invernizzi, Laura","Qual è il suo nome? (Es 3,13): Un nome che genera storia",Teologia,,1120-267X,,https://research.ebsco.com/linkprocessor/plink?id=c7749b2f-30f1-3d76-bb71-c7808e561963,"The sketch of a narrative phenomenology of divine naming suggests that in the various names given to God by characters in the Hebrew Bible, their respective and unique encounters with Him are condensed: the meaning of the assigned names should be sought in lived history. In this sense, the name revealed to Moses at the burning bush is qualitatively different, not only because it is not a received name, but also because the narrative form of Ex. 3 paradoxically contains both revelation and concealment: even though Yhwh responds to Moses when he asks for the name, He remains a mystery; His name is not explained based on what has been, but it is open to the future and it can only be understood by exploring its declinations according to contingency. The emphasis on the narrative and dynamic form of divine (self-)naming does not allow us to consider the revealed name as a mere label: instead, it represents a theology, in which the ontological blends with historical self-reference, and the future promise intertwines with tradition.",2024,2024-10-16 22:31:17,2025-10-14 12:01:02,,333-361,,2,49,,,,,,,,,,Italian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NVFZJEZQ,journalArticle,2024,"Invernizzi, Laura",Caino. La possibilità del male e la fedeltà della grazia,Teologia,,,,https://research.ebsco.com/linkprocessor/plink?id=58519435-2c6f-33cc-a10e-704b39b1cc91,"Like all violent acts, the first murder in the biblical story has a history. A close reading of the text permits to explore Cain's dysfunctional relational context. Actually, Cain's relationship with his parents is barely sketched as problematic and marked by the absence of the paternal authority. On the other hand, Cain's relationship with his brother does not exist at all, despite their common biological origin, and quickly gives way to homicidal rivalry. In this story, since God does not only play an ethical and sanctioning role, but first of all is another-in-dialogue and a father, his relationship with Cain establishes the individual's dignity that is permanently recalled, even when it seems to be lost. In his entire involvement (from lack of consideration to spoken words) the divine character, in fact, tries to give Cain his own suum by recognizing Cain's dignity, autonomy, freedom, right to exist, so that, once out of his relational inability, Cain may be capable of assimilating the rules that promote coexistence, with a renewed dignity.",2024,2024-10-16 22:29:53,2025-10-14 11:58:56,,35-55,,1,49,,,,,,,,,,it,,,,,Zotero,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZHEXHWDD,journalArticle,2018,"Invernizzi, Laura","Leggere la presenza. Genesi, Esodo e oltre",Teologia,,,,https://research.ebsco.com/linkprocessor/plink?id=9e31939c-dc0d-3f46-aa44-95707de78a7a,"Does attention to the Bible literary quality afford advantages to theological inquiry? Thanks to some narrative tools, this study focuses on the presence of God both by exploring how it is narrated and by elucidating the keys to discern it. Ruled by an inverse proportion in Genesis, the dialectic between God's presence and human responsibility is more nuanced in the book of Exodus and the narrative is on a double level: the reader is associated to Moses' full comprehension, while the characters have the burden of the discernment. Exodus narrative makes both the divine and the human point of view simultaneously present, joining divine presence and divine invisibility, visibility and listening skills, interweaving God's interventions with human freedom and responsibility and indicating to the reader that the reception of Moses and his mediation through the written text leads him to read and recognize the presence of God as in the splendor and in the signs of his power, as in the eloquent concealment of the word. [ABSTRACT FROM AUTHOR]",2018,2019-03-14 10:52:07,2025-10-14 11:58:19,,357-380,,,43,,,,,,,,,,,All rights reserved,,,,,,,,https://drive.google.com/file/d/15BJdamaj2FW08wY0CpF8JOIMizgWYN4t/preview,,corso22; Dual causality,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3VSQ8IB6,journalArticle,2013,"Manzi, Franco; Pagazzi, Giovanni Cesare","«Lo prese e lo mangiò davanti a loro» (Lc 24,43). Considerazioni su un dettaglio delle apparizioni del Risorto",Teologia,,1120-267X,,https://research.ebsco.com/linkprocessor/plink?id=08f11c0d-1f1c-3cb6-af00-ca9180ac6fe3,"Is it true, as the New Testament testifies, that the Risen Christ took food and ate? The article takes its distance from various biblicists who merely record the descriptive realism of the New Testament attestations concerning such acts of the Risen One and underline their ingenuous or apologetical nature while passing over in silence the question of their reality. The present research brings to light how the “spiritual body” of the Risen Christ retained the typically human capacity for grasping by hand, which played a decisive role in his being recognized by the witnesses.",2013-09-01,2025-10-13 19:51:21,2025-10-14 11:47:32,2025-10-13 19:51:21,363-381,,3,38,,Teologia,,,,,,,,ita,,,,120177456,EBSCOhost,,Publisher: Glossa,,https://drive.google.com/file/d/1y5X-MKYxtWs7kWx8sEuZNKOa05Ivnr6I/preview,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
